timestamp,condition,scenario,trial,total_frames,negative_scene_frames,negative_scene_rate(%),neg_mean,neg_max

2026-06-10 14:00:54,neg_on,aerial,1,75,18,24.00,0.2487,0.2924
2026-06-10 14:04:50,neg_on,aerial,2,77,30,38.96,0.2483,0.2903
2026-06-10 14:08:44,neg_on,aerial,3,75,8,10.67,0.2399,0.2701
2026-06-10 14:10:56,neg_on,aerial,4,74,18,24.32,0.2482,0.2933
2026-06-10 14:15:04,neg_on,aerial,5,73,6,8.22,0.2382,0.2845
2026-06-12 18:02:08,neg_on,aerial,6,88,29,32.95,0.2513,0.2878
2026-06-12 18:07:55,neg_on,aerial,7,88,38,43.18,0.2550,0.2974
2026-06-12 18:13:18,neg_on,aerial,8,94,25,26.60,0.2466,0.2922
2026-06-12 18:15:37,neg_on,aerial,9,91,26,28.57,0.2468,0.2906
2026-06-12 18:23:35,neg_on,aerial,10,94,31,32.98,0.2521,0.2895
2026-06-12 18:29:19,neg_on,aerial,11,91,26,28.57,0.2469,0.2890
2026-06-12 18:31:55,neg_on,aerial,12,92,22,23.91,0.2432,0.2916
2026-06-12 18:33:44,neg_on,aerial,13,89,15,16.85,0.2457,0.2891
2026-06-12 18:35:28,neg_on,aerial,14,95,27,28.42,0.2489,0.2857
2026-06-12 18:37:44,neg_on,aerial,15,94,25,26.60,0.2489,0.2897
2026-06-12 18:39:47,neg_on,aerial,16,86,6,6.98,0.2442,0.2835
2026-06-12 18:41:17,neg_on,aerial,17,87,8,9.20,0.2434,0.2839
2026-06-12 18:42:48,neg_on,aerial,18,89,15,16.85,0.2425,0.2849
2026-06-12 18:44:29,neg_on,aerial,19,91,28,30.77,0.2527,0.2984
2026-06-12 18:46:30,neg_on,aerial,20,96,29,30.21,0.2515,0.2894
2026-06-12 18:50:40,neg_on,aerial,21,90,31,34.44,0.2511,0.3022
2026-06-12 18:52:30,neg_on,aerial,22,94,27,28.72,0.2453,0.2947
2026-06-12 18:54:31,neg_on,aerial,23,92,22,23.91,0.2473,0.2801
2026-06-12 18:56:19,neg_on,aerial,24,88,8,9.09,0.2422,0.2785
2026-06-12 18:57:46,neg_on,aerial,25,90,22,24.44,0.2443,0.2883

2026-06-10 14:16:48,neg_off,aerial,1,77,25,32.47,0.2536,0.2877
2026-06-10 14:27:13,neg_off,aerial,2,80,39,48.75,0.2581,0.2934
2026-06-10 14:29:05,neg_off,aerial,3,82,40,48.78,0.2587,0.2921
2026-06-10 15:51:38,neg_off,aerial,4,83,43,51.81,0.2596,0.2900
2026-06-10 15:53:54,neg_off,aerial,5,82,50,60.98,0.2615,0.2901
2026-06-10 16:17:13,neg_off,aerial,6,83,48,57.83,0.2621,0.2948
2026-06-10 16:19:16,neg_off,aerial,7,84,51,60.71,0.2636,0.2944
2026-06-10 16:21:13,neg_off,aerial,8,84,43,51.19,0.2594,0.2957
2026-06-10 16:23:04,neg_off,aerial,9,85,44,51.76,0.2596,0.2936
2026-06-10 16:25:01,neg_off,aerial,10,83,44,53.01,0.2608,0.2877
2026-06-10 16:31:36,neg_off,aerial,11,81,49,60.49,0.2647,0.2914
2026-06-10 16:33:26,neg_off,aerial,12,83,40,48.19,0.2590,0.2917
2026-06-10 16:35:10,neg_off,aerial,13,84,45,53.57,0.2596,0.2934
2026-06-10 16:39:41,neg_off,aerial,14,83,42,50.60,0.2606,0.2887
2026-06-10 16:44:48,neg_off,aerial,15,83,40,48.19,0.2598,0.2933
2026-06-10 16:47:42,neg_off,aerial,16,83,44,53.01,0.2604,0.2886
2026-06-10 16:49:20,neg_off,aerial,17,83,42,50.60,0.2619,0.2891
2026-06-10 16:51:41,neg_off,aerial,18,83,52,62.65,0.2631,0.2951
2026-06-10 16:54:40,neg_off,aerial,19,83,44,53.01,0.2607,0.2872
2026-06-12 17:32:45,neg_off,aerial,20,88,33,37.50,0.2557,0.2847
2026-06-12 17:34:24,neg_off,aerial,21,93,52,55.91,0.2605,0.2896
2026-06-12 17:37:20,neg_off,aerial,22,98,56,57.14,0.2602,0.2896
2026-06-12 17:43:18,neg_off,aerial,23,98,54,55.10,0.2589,0.2899
2026-06-12 17:49:53,neg_off,aerial,24,98,59,60.20,0.2622,0.2925
2026-06-12 17:52:34,neg_off,aerial,25,96,54,56.25,0.2632,0.2865

2026-06-12 19:53:01,neg_on,ground,1,88,14,15.91,0.2027,0.2896
2026-06-12 19:54:34,neg_on,ground,2,94,4,4.26,0.1898,0.2550
2026-06-12 19:55:58,neg_on,ground,3,93,5,5.38,0.1883,0.2523
2026-06-12 23:44:27,neg_on,ground,4,86,13,15.12,0.1935,0.2449
2026-06-12 23:46:35,neg_on,ground,5,89,4,4.49,0.1933,0.2509
2026-06-12 23:48:08,neg_on,ground,6,89,16,17.98,0.2026,0.2625
2026-06-12 23:54:36,neg_on,ground,7,89,12,13.48,0.1997,0.2512
2026-06-13 00:00:35,neg_on,ground,8,89,12,13.48,0.1996,0.2588
2026-06-13 00:07:01,neg_on,ground,9,91,7,7.69,0.1988,0.2645
2026-06-13 00:14:05,neg_on,ground,10,87,6,6.90,0.1904,0.2514
2026-06-13 00:27:28,neg_on,ground,11,89,10,11.24,0.1956,0.2457
2026-06-13 00:33:15,neg_on,ground,12,90,11,12.22,0.2014,0.2968
2026-06-13 00:40:11,neg_on,ground,13,89,10,11.24,0.1930,0.2475
2026-06-13 00:46:59,neg_on,ground,14,89,4,4.49,0.1890,0.2449
2026-06-13 00:52:36,neg_on,ground,15,91,11,12.09,0.1957,0.2518
2026-06-13 00:58:15,neg_on,ground,16,91,14,15.38,0.1991,0.2561
2026-06-13 01:04:53,neg_on,ground,17,91,13,14.29,0.1982,0.2672
2026-06-13 01:06:52,neg_on,ground,18,92,8,8.70,0.1947,0.2541
2026-06-13 01:19:49,neg_on,ground,19,91,11,12.09,0.1979,0.2629
2026-06-13 01:22:02,neg_on,ground,20,94,4,4.26,0.1928,0.2428
2026-06-13 01:28:34,neg_on,ground,21,93,11,11.83,0.1918,0.2534
2026-06-13 01:32:18,neg_on,ground,22,91,9,9.89,0.1981,0.2496
2026-06-13 01:34:17,neg_on,ground,23,91,11,12.09,0.1934,0.2880
2026-06-13 01:36:17,neg_on,ground,24,88,9,10.23,0.1971,0.2555
2026-06-13 01:40:10,neg_on,ground,25,86,21,24.42,0.2112,0.2706

2026-06-13 01:42:27,neg_off,ground,1,94,57,60.64,0.2301,0.2763
2026-06-13 01:44:02,neg_off,ground,2,95,54,56.84,0.2326,0.2844
2026-06-13 01:47:03,neg_off,ground,3,94,52,55.32,0.2282,0.2754
2026-06-13 01:48:27,neg_off,ground,4,94,11,11.70,0.2005,0.2899
2026-06-13 01:50:12,neg_off,ground,5,94,19,20.21,0.1987,0.2651
2026-06-13 01:51:57,neg_off,ground,6,94,61,64.89,0.2311,0.2809
2026-06-13 01:55:26,neg_off,ground,7,92,4,4.35,0.1949,0.2416
2026-06-13 01:57:10,neg_off,ground,8,94,23,24.47,0.2157,0.2843
2026-06-13 02:00:00,neg_off,ground,9,95,47,49.47,0.2280,0.2807
2026-06-13 02:01:55,neg_off,ground,10,92,5,5.43,0.1907,0.2402
2026-06-13 10:52:37,neg_off,ground,11,76,41,53.95,0.2307,0.2811
2026-06-13 10:54:13,neg_off,ground,12,77,15,19.48,0.2016,0.2677
